"act_number"|"section_number"|"section_name"|"section_content"
"224"|"155"|"Liability of person for whose benefit a riot is committed"|"<div class=""prov1Txt"" id=""pr155-.""><strong>155.</strong>&#160;&#160;Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not respectively use all lawful means in his or their power to prevent such riot or assembly from taking place, and for suppressing and dispersing the same.<div class=""sourceNote"">[Indian PC 1860, s. 155]</div></div>"
"224"|"156"|"Liability of agent of owner or occupier for whose benefit a riot is committed"|"<div class=""prov1Txt"" id=""pr156-.""><strong>156.</strong>&#160;&#160;Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place, and for suppressing and dispersing the same.<div class=""sourceNote"">[Indian PC 1860, s. 156]</div></div>"
"224"|"157"|"Harbouring persons hired for an unlawful assembly"|"<div class=""prov1Txt"" id=""pr157-.""><strong>157.</strong>&#160;&#160;Whoever harbours, receives or assembles in any house or premises in his occupation or charge, or under his control, any persons, knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both. <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 157]</div></div>"
"224"|"158"|"Being hired to take part in an unlawful assembly or riot"|"<div class=""prov1Txt"" id=""pr158-.""><strong>158.</strong>&#160;&#160;Whoever is engaged or hired, or offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%2212c0eab0-a2c0-4cb4-8de6-0105320e9c98%22%20Status%3Ainforce;rec=0#pr141-."">section&#160;141</a>, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both; and whoever, being so engaged or hired as aforesaid, goes armed, or engages or offers to go armed, with any deadly weapon, or with anything which used as a weapon of offence is likely to cause death, shall be punished with imprisonment for a term which may extend to 5 years, or with fine, or with both. <div class=""amendNote"">[51/2007]</div><div class=""illus"" id=""pr158-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt"">The last section is subject to the same illustration as <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%221a0bb4c8-db9d-4aa2-86e5-ea42cbe8a409%22%20Status%3Ainforce;rec=0#pr144-."">section&#160;144</a>.</div><div class=""sourceNote"">[Indian PC 1860, s. 158]</div></div></div>"
"224"|"159"|"['Repealed by ', 'Act 51 of 2007']"|""
"224"|"160"|"['Repealed by ', 'Act 51 of 2007']"|""
"224"|"161"|"Public servant taking a gratification, other than legal remuneration, in respect of an official act"|"<div class=""prov1Txt"" id=""pr161-.""><strong>161.</strong>&#160;&#160;Whoever, being or expecting to be a public servant, accepts or obtains, or agrees to accept or attempts to obtain, from any person, for himself or for any other person, any gratification whatever, other than legal remuneration, as a motive or reward for doing or forbearing to do any official act, or for showing or forbearing to show, in the exercise of his official functions, favour or disfavour to any person, or for rendering or attempting to render any service or disservice to any person, with the Government, or with any Member of Parliament or the Cabinet, or with any public servant, as such, shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.<div class=""explan"" id=""pr161-tp-.""><div class=""illusTxt""><em>Explanations</em>&#8212;<span id=""pr161-tp-pdExpectingtobeapublicservant-.""></span>&#8220;Expecting to be a public servant&#8221;. If a person not expecting to be in office obtains a gratification by deceiving others into a belief that he is about to be in office, and that he will then serve them, he may be guilty of cheating, but he is not guilty of the offence defined in this section.<div class=""illusTxt"" id=""pr161-tp-pdGratification-."">&#8220;Gratification&#8221;. The word &#8220;gratification&#8221; is not restricted to pecuniary gratifications, or to gratifications estimable in money.</div><div class=""illusTxt"" id=""pr161-tp-pdLegalremuneration-."">&#8220;Legal remuneration&#8221;. The words &#8220;legal remuneration&#8221; are not restricted to remuneration which a public servant can lawfully demand, but include all remuneration which he is permitted by law to accept.</div><div class=""illusTxt"" id=""pr161-tp-pdAmotiveorrewardfordoing-."">&#8220;A motive or reward for doing&#8221;. A person who receives a gratification as a motive for doing what he does not intend to do, or as a reward for doing what he has not done, comes within these words.<div class=""illus"" id=""pr161-tp-pdAmotiveorrewardfordoing-ti-.""><div class=""illusHdr"">Illustration</div><div class=""p1_1""><div class=""illusNo"">(<em>a</em>)</div><div class=""illusP1""><em>A</em>, a judge, obtains from <em>Z</em>, a banker, a situation in <em>Z</em>&#8217;s bank for <em>A</em>&#8217;s brother, as a reward to <em>A</em> for deciding a cause in favour of <em>Z</em>. <em>A</em> has committed the offence defined in this section.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>b</em>)</div><div class=""illusP1""><em>A</em>, a public servant, induces <em>Z </em>erroneously to believe that <em>A</em>&#8217;s influence with another public servant has obtained for <em>Z</em> a contract to do work, and thus induces <em>Z</em> to give <em>A</em> money. <em>A</em> has committed the offence defined in this section.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>c</em>)</div><div class=""illusP1""><em>A</em>, a public servant, induces <em>Z</em> erroneously to believe that <em>A</em>&#8217;s influence with the Government has obtained a grant of land for <em>Z</em>, and thus induces <em>Z</em> to give <em>A</em> money, as a reward for his service. <em>A</em> has committed the offence defined in this section.  <div class=""amendNote"">[51/2007]</div></div></div></div></div></div></div></div>"
"224"|"162"|"Taking a gratification in order, by corrupt or illegal means, to influence a public servant"|"<div class=""prov1Txt"" id=""pr162-.""><strong>162.</strong>&#160;&#160;Whoever accepts or obtains, or agrees to accept or attempts to obtain, from any person, for himself or for any other person, any gratification whatever, as a motive or reward for inducing, by corrupt or illegal means, any public servant to do or to forbear to do any official act, or in the exercise of the official functions of such public servant to show favour or disfavour to any person, or to render or attempt to render any service or disservice to any person, with the Government, or with any Member of Parliament or the Cabinet, or with any public servant, as such, shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.</div>"
"224"|"163"|"Taking a gratification, for the exercise of personal influence with a public servant"|"<div class=""prov1Txt"" id=""pr163-.""><strong>163.</strong>&#160;&#160;Whoever accepts or obtains, or agrees to accept or attempts to obtain, from any person, for himself or for any other person, any gratification whatever, as a motive or reward for inducing, by the exercise of personal influence, any public servant to do or to forbear to do any official act, or in the exercise of the official functions of such public servant to show favour or disfavour to any person, or to render or attempt to render any service or disservice to any person with the Government, or with any Member of Parliament or the Cabinet, or with any public servant, as such, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.<div class=""illus"" id=""pr163-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt"">An advocate who receives a fee for arguing a case before a judge; a person who receives pay for arranging and correcting a memorial addressed to Government, setting forth the services and claims of the memorialist; a paid agent for a condemned criminal, who lays before the Government statements tending to show that the condemnation was unjust &#8212; are not within this section, inasmuch as they do not exercise or profess to exercise personal influence.</div></div></div>"
"224"|"164"|"Punishment for abetment by public servant of the offences above defined"|"<div class=""prov1Txt"" id=""pr164-.""><strong>164.</strong>&#160;&#160;Whoever, being a public servant, in respect of whom either of the offences defined in <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%22053a858d-3faf-4feb-b8a2-a7821ff5db12%22%20Status%3Ainforce;rec=0#pr162-."">sections&#160;162</a> and <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%225c373dba-c60c-47fb-a168-738ea9c4e845%22%20Status%3Ainforce;rec=0#pr163-."">163</a> is committed, abets the offence, shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.<div class=""illus"" id=""pr164-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt""><em>A</em> is a public servant. <em>B</em>, <em>A</em>&#8217;s wife, receives a present as a motive for soliciting <em>A</em> to give an office to a particular person. <em>A</em> abets her doing so. <em>B</em> is punishable with imprisonment for a term not exceeding one year, or with fine, or with both. <em>A</em> is punishable with imprisonment for a term which may extend to 3 years, or with fine, or with both.</div></div></div>"
"224"|"165"|"Public servant obtaining any valuable thing, without consideration, from person concerned in any proceeding or business transacted by such public servant"|"<div class=""prov1Txt"" id=""pr165-.""><strong>165.</strong>&#160;&#160;Whoever, being a public servant, accepts or obtains, or agrees to accept or attempts to obtain, for himself or for any other person, any valuable thing, without consideration, or for a consideration which he knows to be inadequate, from any person whom he knows to have been, or to be, or to be likely to be concerned in any proceedings or business transacted, or about to be transacted, by such public servant, or having any connection with the official functions of himself or of any public servant to whom he is subordinate, or from any person whom he knows to be interested in or related to the person so concerned, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""illus"" id=""pr165-ti-.""><div class=""illusHdr"">Illustration</div><div class=""p1_1""><div class=""illusNo"">(<em>a</em>)</div><div class=""illusP1""><em>A</em>, a judge, hires a house of<em> Z</em>, who has a case pending before him. It is agreed that <em>A</em> shall pay $50 a month, the house being such that, if the bargain were made in good faith, <em>A</em> would be required to pay $200 a month. <em>A</em> has obtained a valuable thing from <em>Z</em> without adequate consideration.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>b</em>)</div><div class=""illusP1""><em>A</em>, a judge, buys of <em>Z</em>, who has a cause pending in <em>A</em>&#8217;s court, Government promissory notes at a discount, when they are selling in the market at a premium. <em>A</em> has obtained a valuable thing from <em>Z</em> without adequate consideration.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>c</em>)</div><div class=""illusP1""><em>Z</em>&#8217;s brother is apprehended and taken before <em>A</em>, a Magistrate, on a charge of perjury. <em>A</em> sells to <em>Z</em> shares in a bank at a premium, when they are selling in the market at a discount. <em>Z</em> pays <em>A</em> for the shares accordingly. The money so obtained by <em>A</em> is a valuable thing obtained by him without adequate consideration.</div></div></div></div>"
"224"|"166"|"Public servant disobeying a direction of the law, with intent to cause injury to any person"|"<div class=""prov1Txt"" id=""pr166-.""><strong>166.</strong>&#160;&#160;Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.<div class=""illus"" id=""pr166-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt""><em>A</em>, being an officer directed by law to take property in execution in order to satisfy a decree pronounced in <em>Z</em>&#8217;s favour by a court of justice, knowingly disobeys that direction of law, with the knowledge that he is likely thereby to cause injury to <em>Z</em>. <em>A</em> has committed the offence defined in this section.</div><div class=""sourceNote"">[Indian PC 1860, s. 166]</div></div></div>"
"224"|"167"|"Public servant framing an incorrect document or electronic record with intent to cause injury"|"<div class=""prov1Txt"" id=""pr167-.""><strong>167.</strong>&#160;&#160;Whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document or electronic record, frames or translates that document or electronic record in a manner which he knows or believes to be incorrect, intending thereby to cause, or knowing it to be likely that he may thereby cause, injury to any person, shall be punished with imprisonment for a term which may extend to 3 years, or with fine, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 167]</div></div>"
"224"|"168"|"Public servant unlawfully engaging in trade"|"<div class=""prov1Txt"" id=""pr168-.""><strong>168.</strong>&#160;&#160;Whoever, being a public servant, and being legally bound as such public servant not to engage in trade, engages in trade, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 168]</div></div>"
"224"|"169"|"Public servant unlawfully buying or bidding for property"|"<div class=""prov1Txt"" id=""pr169-.""><strong>169.</strong>&#160;&#160;Whoever, being a public servant, and being legally bound as such public servant not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly or in shares with others, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both; and the property, if purchased, shall be confiscated.<div class=""sourceNote"">[Indian PC 1860, s. 169]</div></div>"
"224"|"170"|"Personating a public servant"|"<div class=""prov1Txt"" id=""pr170-.""><strong>170.</strong>&#160;&#160;Whoever pretends to hold any particular office as a public servant, knowing that he does not hold such office, or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 170]</div></div>"
"224"|"171"|"Wearing garb or carrying token used by public servant, with fraudulent intent"|"<div class=""prov1Txt"" id=""pr171-.""><strong>171.</strong>&#160;&#160;Whoever, not belonging to a certain class of public servants, wears any garb or carries any token resembling any garb or token used by that class of public servants, with the intention that it may be believed, or with the knowledge that it is likely to be believed, that he belongs to that class of public servants, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $1,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 171]</div></div>"
"224"|"172"|"Absconding to avoid arrest on warrant or service of summons, etc., proceeding from a public servant"|"<div class=""prov1Txt"" id=""pr172-.""><strong>172.</strong>&#160;&#160;Whoever absconds in order to avoid being arrested on a warrant, or to avoid being served with a summons, a notice, or an order proceeding from any public servant, legally competent, as such public servant, to issue such warrant, summons, notice or order, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,500, or with both; or, if the summons, notice or order is to attend in person or by agent, or to produce a document or an electronic record before a court of justice, with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 172]</div></div>"
"224"|"173"|"Preventing service of summons, etc., or preventing publication thereof"|"<div class=""prov1Txt"" id=""pr173-.""><strong>173.</strong>&#160;&#160;Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order, proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, or intentionally prevents the lawful affixing to any place of any such summons, notice or order, or intentionally removes any such summons, notice or order from any place to which it is lawfully affixed, or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,500, or with both; or, if the summons, notice, order, or proclamation is to attend in person or by agent, or to produce a document or an electronic record before a court of justice, with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 173]</div></div>"
"224"|"174"|"Failure to attend in obedience to an order from a public servant"|"<div class=""prov1Txt"" id=""pr174-.""><strong>174.</strong>&#160;&#160;Whoever, being legally bound to attend in person or by an agent at a certain place and time in obedience to a summons, a notice, an order or a proclamation, proceeding from any public servant legally competent, as such public servant, to issue the same, intentionally omits to attend at the place or time, or departs from the place where he is bound to attend before the time at which it is lawful for him to depart, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,500, or with both; or if the summons, notice, order or proclamation is to attend in person or by agent before a court of justice, with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both. <div class=""amendNote"">[51/2007]</div><div class=""illus"" id=""pr174-ti-.""><div class=""illusHdr"">Illustration</div><div class=""p1_1""><div class=""illusNo"">(<em>a</em>)</div><div class=""illusP1""><em>A</em>, being legally bound to appear before the High Court, in obedience to a subpoena issuing from that Court, intentionally omits to appear. <em>A</em> has committed the offence defined in this section.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>b</em>)</div><div class=""illusP1""><em>A</em>, being legally bound to appear before a Magistrate as a witness, in obedience to a summons issued by that Magistrate, intentionally omits to appear. <em>A</em> has committed the offence defined in this section.<div class=""sourceNote"">[Indian PC 1860, s. 174]</div></div></div></div></div>"
"224"|"175"|"Omission to produce a document or an electronic record to a public servant by a person legally bound to produce such document or electronic record"|"<div class=""prov1Txt"" id=""pr175-.""><strong>175.</strong>&#160;&#160;Whoever, being legally bound to produce or deliver up any document or electronic record to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,500, or with both; or, if the document or electronic record is to be produced or delivered up to a court of justice, with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both. <div class=""amendNote"">[51/2007]</div><div class=""illus"" id=""pr175-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt""><em>A</em>, being legally bound to produce a document or an electronic record before a Magistrate&#8217;s Court, intentionally omits to produce the same.<em> A</em> has committed the offence defined in this section. </div><div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 175]</div></div></div>"
"224"|"176"|"Omission to give notice or information to a public servant by a person legally bound to give such notice or information"|"<div class=""prov1Txt"" id=""pr176-.""><strong>176.</strong>&#160;&#160;Whoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,500, or with both; or, if the notice or information required to be given respects the commission of an offence, or is required for the purpose of preventing the commission of an offence or in order to the apprehension of an offender, with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 176]</div></div>"
"224"|"177"|"Furnishing false information"|"<div class=""prov1Txt"" id=""pr177-.""><strong>177.</strong>&#160;&#160;Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $5,000, or with both; or, if the information which he is legally bound to furnish respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment for a term which may extend to 3 years, or with fine, or with both. <div class=""amendNote"">[51/2007]</div><div class=""illus"" id=""pr177-ti-.""><div class=""illusHdr"">Illustration</div><div class=""p1_1""><div class=""illusNo"">(<em>a</em>)</div><div class=""illusP1""><em>A</em>, a landholder, knowing of the commission of a murder, within the limits of his estate, wilfully misinforms the police of the district that the death has occurred by accident in consequence of the bite of a snake. <em>A</em> is guilty of the offence defined in this section.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>b</em>)</div><div class=""illusP1"">[<em>Deleted by </em><em>Act 51 of 2007</em>]<div class=""explan"" id=""pr177-ti-p1b-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;In <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=Id%3A%2241308918-fb01-4137-8421-b53b6763a419%22%20Status%3Ainforce;rec=0#pr176-."">section&#160;176</a> and in this section &#8220;offence&#8221; includes any act committed at any place out of Singapore, which if committed in Singapore would be punishable under any of the following sections, namely, 302, 304, 382, 392, 393, 394, 395, 396, 397, 399, 402, 435, 436, 449, 450, 457, 458, 459 and 460, and &#8220;offender&#8221; includes any person who is alleged to have been guilty of any such act.<div class=""sourceNote"">[Indian PC 1860, s. 177]</div></div></div></div></div></div></div>"
"224"|"178"|"Refusing oath when duly required to take oath by a public servant"|"<div class=""prov1Txt"" id=""pr178-.""><strong>178.</strong>&#160;&#160;Whoever refuses to bind himself by an oath to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 178]</div></div>"
"224"|"179"|"Refusing to answer a public servant authorised to question"|"<div class=""prov1Txt"" id=""pr179-.""><strong>179.</strong>&#160;&#160;Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant, in the exercise of the legal powers of such public servant, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 179]</div></div>"
"224"|"180"|"Refusing to sign statement"|"<div class=""prov1Txt"" id=""pr180-.""><strong>180.</strong>&#160;&#160;Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with imprisonment for a term which may extend to 3 months, or with fine which may extend to $2,500, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 180]</div></div>"
"224"|"181"|"False statement on oath to public servant or person authorised to administer an oath"|"<div class=""prov1Txt"" id=""pr181-.""><strong>181.</strong>&#160;&#160;Whoever, being legally bound by an oath to state the truth on any subject to any public servant or other person authorised by law to administer such oaths, makes to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment for a term which may extend to 3 years, and shall also be liable to fine.<div class=""sourceNote"">[Indian PC 1860, s. 181]</div></div>"
"224"|"182"|"False information, with intent to cause a public servant to use his lawful power to the injury of another person"|"<div class=""prov1Txt"" id=""pr182-.""><strong>182.</strong>&#160;&#160;Whoever gives to any public servant any information which he knows or believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause, such public servant to use the lawful power of such public servant to the injury or annoyance of any person, or to do or omit anything which such public servant ought not to do or omit if the true state of facts respecting which such information is given were known by him, shall be punished with imprisonment for a term which may extend to one year, or with fine which may extend to $5,000, or with both. <div class=""amendNote"">[51/2007]</div><div class=""illus"" id=""pr182-ti-.""><div class=""illusHdr"">Illustration</div><div class=""p1_1""><div class=""illusNo"">(<em>a</em>)</div><div class=""illusP1""><em>A</em> informs a superintendent of police that <em>Z</em>, a police officer subordinate to such superintendent, has been guilty of neglect of duty or misconduct, knowing such information to be false, and knowing it to be likely that the information will cause the superintendent to dismiss <em>Z</em>. <em>A</em> has committed the offence defined in this section.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>b</em>)</div><div class=""illusP1""><em>A</em> falsely informs a public servant that <em>Z</em> has contraband opium in a secret place, knowing such information to be false, and knowing that it is likely that the consequence of the information will be a search of <em>Z</em>&#8217;s premises, attended with annoyance to Z. <em>A</em> has committed the offence defined in this section.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>c</em>)</div><div class=""illusP1""><em>A</em> falsely informs a policeman that he has been assaulted and robbed by a person whose identity he does not know. <em>A</em> also mentions that he often sees that person going in and out of a block of flats, knowing it to be likely that in consequence of this information, the police will make inquiries and institute searches in the block of flats to the annoyance of the flat dwellers or some of them. <em>A</em> has committed an offence under this section. <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 182]</div></div></div></div></div>"
"224"|"183"|"Resistance to the taking of property by the lawful authority of a public servant"|"<div class=""prov1Txt"" id=""pr183-.""><strong>183.</strong>&#160;&#160;Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 183]</div></div>"
"224"|"184"|"Obstructing sale of property offered for sale by authority of a public servant"|"<div class=""prov1Txt"" id=""pr184-.""><strong>184.</strong>&#160;&#160;Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant as such, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,500, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 184]</div></div>"
"224"|"185"|"Illegal purchase or bid for property offered for sale by authority of a public servant"|"<div class=""prov1Txt"" id=""pr185-.""><strong>185.</strong>&#160;&#160;Whoever, at any sale of property held by the lawful authority of a public servant as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 185]</div></div>"
"224"|"186"|"Obstructing public servant in discharge of his public functions"|"<div class=""prov1Txt"" id=""pr186-.""><strong>186.</strong>&#160;&#160;Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment for a term which may extend to 3 months, or with fine which may extend to $2,500, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 186]</div></div>"
"224"|"187"|"Omission to assist public servant when bound by law to give assistance"|"<div class=""prov1Txt"" id=""pr187-.""><strong>187.</strong>&#160;&#160;Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,000, or with both; and if such assistance is demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a court of justice, or of preventing the commission of an offence, or of suppressing a riot or an affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $2,500, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""sourceNote"">[Indian PC 1860, s. 187]</div></div>"
"224"|"188"|"Disobedience to an order duly promulgated by a public servant"|"<div class=""prov1Txt"" id=""pr188-.""><strong>188.</strong>&#160;&#160;Whoever, knowing that by an order promulgated by a public servant lawfully empowered to promulgate such order he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management, disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any person lawfully employed, be punished with imprisonment for a term which may extend to one month, or with fine which may extend to $1,000, or with both; and if such disobedience causes or tends to cause danger to human life, health, or safety, or causes or tends to cause a riot or an affray, shall be punished with imprisonment for a term which may extend to 6 months, or with fine which may extend to $3,000, or with both.  <div class=""amendNote"">[51/2007]</div><div class=""explan"" id=""pr188-tp-.""><div class=""illusTxt""><em>Explanation</em>&#8212;.It is not necessary that the offender should intend to produce harm, or contemplate his disobedience as likely to produce harm. It is sufficient that he knows of the order which he disobeys, and that his disobedience produces, or is likely to produce, harm.<div class=""illus"" id=""pr188-tp-ti-.""><div class=""illusHdr"">Illustration</div><div class=""illusTxt"">An order is promulgated by a public servant lawfully empowered to promulgate such order, directing that a religious procession shall not pass down a certain street. <em>A</em> knowingly disobeys the order, and thereby causes danger of riot. <em>A</em> has committed the offence defined in this section.</div><div class=""sourceNote"">[Indian PC 1860, s. 188]</div></div></div></div></div>"
"224"|"189"|"Threat of injury to a public servant"|"<div class=""prov1Txt"" id=""pr189-.""><strong>189.</strong>&#160;&#160;Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment for a term which may extend to 2 years, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 189]</div></div>"
"224"|"190"|"Threat of injury to induce any person to refrain from applying for protection to a public servant"|"<div class=""prov1Txt"" id=""pr190-.""><strong>190.</strong>&#160;&#160;Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application, for protection against any injury, to any public servant legally empowered as such to give such protection or to cause such protection to be given, shall be punished with imprisonment for a term which may extend to one year, or with fine, or with both.<div class=""sourceNote"">[Indian PC 1860, s. 190]</div></div>"
